country_id,country,last_update
1,Afghanistan,2021-03-06 15:51:49
2,Algeria,2021-03-06 15:51:49
3,American Samoa,2021-03-06 15:51:49
4,Angola,2021-03-06 15:51:49
5,Anguilla,2021-03-06 15:51:49
6,Argentina,2021-03-06 15:51:49
7,Armenia,2021-03-06 15:51:49
8,Australia,2021-03-06 15:51:49
9,Austria,2021-03-06 15:51:49
10,Azerbaijan,2021-03-06 15:51:49
11,Bahrain,2021-03-06 15:51:49
12,Bangladesh,2021-03-06 15:51:49
13,Belarus,2021-03-06 15:51:49
14,Bolivia,2021-03-06 15:51:49
15,Brazil,2021-03-06 15:51:49
16,Brunei,2021-03-06 15:51:49
17,Bulgaria,2021-03-06 15:51:49
18,Cambodia,2021-03-06 15:51:49
19,Cameroon,2021-03-06 15:51:49
20,Canada,2021-03-06 15:51:49
21,Chad,2021-03-06 15:51:49
22,Chile,2021-03-06 15:51:49
23,China,2021-03-06 15:51:49
24,Colombia,2021-03-06 15:51:49
25,"Congo, The Democratic Republic of the",2021-03-06 15:51:49
26,Czech Republic,2021-03-06 15:51:49
27,Dominican Republic,2021-03-06 15:51:49
28,Ecuador,2021-03-06 15:51:49
29,Egypt,2021-03-06 15:51:49
30,Estonia,2021-03-06 15:51:49
31,Ethiopia,2021-03-06 15:51:49
32,Faroe Islands,2021-03-06 15:51:49
33,Finland,2021-03-06 15:51:49
34,France,2021-03-06 15:51:49
35,French Guiana,2021-03-06 15:51:49
36,French Polynesia,2021-03-06 15:51:49
37,Gambia,2021-03-06 15:51:49
38,Germany,2021-03-06 15:51:49
39,Greece,2021-03-06 15:51:49
40,Greenland,2021-03-06 15:51:49
41,Holy See (Vatican City State),2021-03-06 15:51:49
42,Hong Kong,2021-03-06 15:51:49
43,Hungary,2021-03-06 15:51:49
44,India,2021-03-06 15:51:49
45,Indonesia,2021-03-06 15:51:49
46,Iran,2021-03-06 15:51:49
47,Iraq,2021-03-06 15:51:49
48,Israel,2021-03-06 15:51:49
49,Italy,2021-03-06 15:51:49
50,Japan,2021-03-06 15:51:49
51,Kazakstan,2021-03-06 15:51:49
52,Kenya,2021-03-06 15:51:49
53,Kuwait,2021-03-06 15:51:49
54,Latvia,2021-03-06 15:51:49
55,Liechtenstein,2021-03-06 15:51:49
56,Lithuania,2021-03-06 15:51:49
57,Madagascar,2021-03-06 15:51:49
58,Malawi,2021-03-06 15:51:49
59,Malaysia,2021-03-06 15:51:49
60,Mexico,2021-03-06 15:51:49
61,Moldova,2021-03-06 15:51:49
62,Morocco,2021-03-06 15:51:49
63,Mozambique,2021-03-06 15:51:49
64,Myanmar,2021-03-06 15:51:49
65,Nauru,2021-03-06 15:51:49
66,Nepal,2021-03-06 15:51:49
67,Netherlands,2021-03-06 15:51:49
68,New Zealand,2021-03-06 15:51:49
69,Nigeria,2021-03-06 15:51:49
70,North Korea,2021-03-06 15:51:49
71,Oman,2021-03-06 15:51:49
72,Pakistan,2021-03-06 15:51:49
73,Paraguay,2021-03-06 15:51:49
74,Peru,2021-03-06 15:51:49
75,Philippines,2021-03-06 15:51:49
76,Poland,2021-03-06 15:51:49
77,Puerto Rico,2021-03-06 15:51:49
78,Romania,2021-03-06 15:51:49
79,Runion,2021-03-06 15:51:49
80,Russian Federation,2021-03-06 15:51:49
81,Saint Vincent and the Grenadines,2021-03-06 15:51:49
82,Saudi Arabia,2021-03-06 15:51:49
83,Senegal,2021-03-06 15:51:49
84,Slovakia,2021-03-06 15:51:49
85,South Africa,2021-03-06 15:51:49
86,South Korea,2021-03-06 15:51:49
87,Spain,2021-03-06 15:51:49
88,Sri Lanka,2021-03-06 15:51:49
89,Sudan,2021-03-06 15:51:49
90,Sweden,2021-03-06 15:51:49
91,Switzerland,2021-03-06 15:51:49
92,Taiwan,2021-03-06 15:51:49
93,Tanzania,2021-03-06 15:51:49
94,Thailand,2021-03-06 15:51:49
95,Tonga,2021-03-06 15:51:49
96,Tunisia,2021-03-06 15:51:49
97,Turkey,2021-03-06 15:51:49
98,Turkmenistan,2021-03-06 15:51:49
99,Tuvalu,2021-03-06 15:51:49
100,Ukraine,2021-03-06 15:51:49
101,United Arab Emirates,2021-03-06 15:51:49
102,United Kingdom,2021-03-06 15:51:49
103,United States,2021-03-06 15:51:49
104,Venezuela,2021-03-06 15:51:49
105,Vietnam,2021-03-06 15:51:49
106,"Virgin Islands, U.S.",2021-03-06 15:51:49
107,Yemen,2021-03-06 15:51:49
108,Yugoslavia,2021-03-06 15:51:49
109,Zambia,2021-03-06 15:51:49
